category,total_files,total_aspects,avg_doc_tokens,avg_summary_tokens,aspect_distribution
aerospace_defense,50,300,4483.06,124.87,"{4: 10, 6: 10, 5: 10, 8: 10, 7: 10}"
asset_management,50,300,4677.24,102.92,"{5: 10, 7: 10, 8: 10, 4: 10, 6: 10}"
automotive,50,300,4675.18,108.84,"{4: 10, 6: 10, 5: 10, 8: 10, 7: 10}"
banking,50,300,3983.78,116.5,"{8: 10, 7: 10, 5: 10, 6: 10, 4: 10}"
cloud_computing,60,361,5080.22,116.56,"{8: 14, 5: 13, 4: 12, 6: 11, 7: 10}"
consumer_goods,50,300,4770.1,104.98,"{7: 10, 5: 10, 6: 10, 4: 10, 8: 10}"
cybersecurity,50,300,4501.96,82.11,"{8: 10, 7: 10, 6: 10, 5: 10, 4: 10}"
ecommerce,50,300,3933.02,97.32,"{7: 10, 4: 10, 6: 10, 5: 10, 8: 10}"
food_beverage,50,300,4838.94,109.36,"{6: 10, 4: 10, 5: 10, 8: 10, 7: 10}"
healthcare_services,50,300,4641.14,96.59,"{7: 10, 8: 10, 5: 10, 4: 10, 6: 10}"
insurance,50,300,4967.58,81.11,"{8: 10, 5: 10, 4: 10, 6: 10, 7: 10}"
manufacturing,50,300,4855.6,82.85,"{4: 10, 6: 10, 7: 10, 8: 10, 5: 10}"
medical_devices,50,300,5751.46,115.45,"{6: 10, 4: 10, 5: 10, 7: 10, 8: 10}"
oil_gas,50,300,5362.16,115.82,"{5: 10, 6: 10, 7: 10, 8: 10, 4: 10}"
pharma_biotech,50,300,4953.22,122.89,"{6: 10, 5: 10, 8: 10, 7: 10, 4: 10}"
renewable_energy,50,300,4943.14,113.37,"{6: 10, 5: 10, 7: 10, 8: 10, 4: 10}"
retail,50,300,4137.6,88.85,"{4: 10, 6: 10, 7: 10, 8: 10, 5: 10}"
software_saas,58,352,4582.71,90.52,"{8: 13, 5: 13, 7: 11, 6: 11, 4: 10}"
telecom,50,300,5322.22,89.33,"{7: 10, 4: 10, 5: 10, 8: 10, 6: 10}"
utilities,50,300,4579.18,122.42,"{7: 10, 5: 10, 4: 10, 8: 10, 6: 10}"
TOTAL,1018,6113,4753.87,104.14,"{4: 202, 5: 206, 6: 202, 7: 201, 8: 207}"
